"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Jake Clarke-Salter","2019-2020",0,0,1,1,0,0,0,0,0,291,1728,971,7,2,0,8,2,312
"Matt Miazga","2019-2020",0,0,1,1,0,0,0,0,0,451,2017,1120,5,5,0,8,4,544
"Izzy Brown","2019-2020",3,1,9,5,2,2,0,0,0,504,3276,1371,43,38,12,49,37,517
"Tiemoué Bakayoko","2019-2020",4,2,4,3,0,1,0,0,0,717,3809,1734,30,17,7,31,30,866
"Izzy Brown","2019-2020",3,1,9,5,2,2,0,0,0,504,3276,1371,43,38,12,49,37,517
"Jake Clarke-Salter","2019-2020",0,0,1,1,0,0,0,0,0,291,1728,971,7,2,0,8,2,312
"Eberechi Eze","2019-2020",15,0,19,8,3,3,3,2,0,1522,10601,4729,135,107,45,130,79,1749
"Nathan Ferguson","2019-2020",0,2,1,1,0,0,0,0,0,710,3790,2070,45,36,5,26,18,846
"Connor Wickham","2019-2020",1,1,1,0,0,0,1,0,0,221,1005,299,9,10,4,26,22,287
"Kieran Dowell","2019-2020",2,2,6,4,0,1,0,0,1,489,2622,1201,37,41,11,44,33,627
"Matthew Pennington","2019-2020",2,0,3,2,1,0,0,0,0,224,1264,680,9,10,1,12,5,242
"Terence Kongolo","2019-2020",0,0,2,2,0,0,0,0,0,241,1201,685,8,9,1,7,2,341
"Kenny Tete","2019-2020",1,1,3,2,0,0,0,0,1,540,2842,1335,38,20,4,15,5,619
"Antonee Robinson","2019-2020",3,1,3,3,0,0,0,0,0,1138,9928,5489,160,133,24,50,35,1118
"Joachim Andersen","2019-2020",0,0,0,0,0,0,0,0,0,905,4909,3029,6,5,0,3,2,1105
"Anthony Knockaert","2019-2020",4,1,9,7,2,0,0,0,0,1019,6932,3267,125,54,59,69,40,1329
"Stefan Johansen","2019-2020",2,0,6,6,0,0,0,0,0,651,4322,1889,38,30,4,37,18,983
"Neeskens Kebano","2019-2020",2,2,4,2,0,0,1,1,0,230,1727,962,40,15,10,22,13,249
"Steven Sessegnon","2019-2020",0,1,0,0,0,0,0,0,0,240,1388,737,9,10,2,10,1,450
"Cyrus Christie","2019-2020",2,0,2,2,0,0,0,0,0,469,2695,1522,52,34,13,22,9,581
"Raphinha","2019-2020",6,2,5,5,0,0,0,0,0,609,3994,2027,64,47,33,47,33,622
"Barry Douglas","2019-2020",0,0,1,1,0,0,0,0,0,266,1203,599,10,8,2,6,2,372
"Wesley Fofana","2019-2020",1,0,1,1,0,0,0,0,0,465,3351,2011,30,10,0,8,5,472
"Islam Slimani","2019-2020",1,1,11,8,0,2,1,0,0,428,1527,551,20,15,9,46,31,586
"Fousseni Diabaté","2019-2020",1,0,4,3,0,1,0,0,0,358,2806,1228,47,28,16,51,27,439
"Adrien Silva","2019-2020",1,1,3,1,2,0,0,0,0,511,2060,1065,14,10,1,12,13,661
"Ovie Ejaria","2019-2020",5,2,12,10,0,1,1,0,0,1119,7362,3548,99,80,30,68,73,1159
"Patrick Roberts","2019-2020",2,0,5,2,1,1,0,1,0,179,1533,780,33,19,18,12,16,178
"Jack Harrison","2019-2020",7,0,18,13,1,1,3,0,0,1239,8984,4741,166,66,69,114,93,1548
"Lukas Nmecha","2019-2020",4,0,1,0,0,0,0,1,0,111,712,280,12,5,4,18,13,122
"Patrick Roberts","2019-2020",2,0,5,2,1,1,0,1,0,179,1533,780,33,19,18,12,16,178
"Tosin Adarabioyo","2019-2020",1,0,3,1,0,0,1,1,0,1028,4148,2378,11,3,1,13,7,1191
"Edinson Cavani","2019-2020",0,0,2,1,0,0,1,0,0,93,268,118,3,1,1,21,2,148
"Jacob Murphy","2019-2020",9,2,11,7,1,0,0,2,1,686,5791,2966,120,74,38,53,50,677
"Jayden Bogle","2019-2020",4,0,11,11,0,0,0,0,0,1136,7261,4062,106,67,25,67,51,1182
"Max Lowe","2019-2020",2,0,3,3,0,0,0,0,0,800,4725,2660,64,45,10,42,24,917
"Callum Robinson","2019-2020",0,0,6,5,0,0,1,0,0,322,1731,821,35,19,15,33,22,354
"Ibrahima Diallo","2019-2020",0,0,3,3,0,0,0,0,0,617,3567,1781,24,11,1,23,22,656
"Harrison Reed","2019-2020",3,1,3,2,0,0,0,1,0,620,3304,1511,17,26,2,19,6,897
"Joe Rodon","2019-2020",0,0,2,2,0,0,0,0,0,640,3483,2270,11,8,1,8,3,759
"Cameron Carter-Vickers","2019-2020",0,0,1,1,0,0,0,0,0,664,3293,1803,18,5,4,7,4,763
"Karlan Grant","2019-2020",3,0,10,4,2,2,1,1,0,959,6767,2697,110,65,49,125,54,1136
"Cédric Kipré","2019-2020",1,2,2,1,0,0,1,0,0,806,4034,2121,7,7,2,10,6,854
"Charlie Austin","2019-2020",0,0,3,2,0,0,1,0,0,270,1101,246,5,1,2,35,18,355
"Kenneth Zohore","2019-2020",0,1,1,0,0,0,1,0,0,111,652,264,13,5,2,16,7,151
"Sam Field","2019-2020",0,1,2,1,0,0,0,0,1,217,987,386,3,5,0,9,4,285
"Sam Field","2019-2020",0,1,2,1,0,0,0,0,1,217,987,386,3,5,0,9,4,285
"Saïd Benrahma","2019-2020",14,0,21,17,0,2,0,2,0,1714,12155,6387,217,158,89,135,107,1877
"Grady Diangana","2019-2020",7,0,13,7,0,4,0,2,0,693,4635,2592,91,59,39,71,46,815
"Josh Cullen","2019-2020",6,1,10,4,4,0,1,0,1,862,4309,1974,48,24,9,43,21,1119
"Jordan Hugill","2019-2020",8,0,7,2,0,1,2,2,0,428,1890,669,23,15,12,88,40,679
"Hélder Costa","2019-2020",5,1,12,7,0,3,0,2,0,875,6703,3525,147,81,53,101,57,1107
"Morgan Sanson","2019-2020",11,3,5,4,0,0,1,0,0,853,5639,2622,96,69,19,68,56,878
"Josh Maja","2019-2020",3,2,4,2,0,1,1,0,0,197,784,298,9,10,5,21,14,213
"Alfie Mawson","2019-2020",0,0,0,0,0,0,0,0,0,1191,6008,4146,7,6,0,12,7,1550
"Ben Davies","2019-2020",0,0,1,1,0,0,0,0,0,904,5562,3699,13,13,1,13,3,1070
"Patrick Roberts","2019-2020",2,0,5,2,1,1,0,1,0,179,1533,780,33,19,18,12,16,178
"Saïd Benrahma","2019-2020",14,0,21,17,0,2,0,2,0,1714,12155,6387,217,158,89,135,107,1877
