"rk","player","min","gca","sca","cmp_percent","won_percent","succ_percent","carries","int","tkl","season","age","nation","team","comp","mp","min_2","x90s","starts","subs","un_sub","gls","ast","g_a","g_pk","pk","p_katt","p_km","cmp","att","cmp_percent_2","kp","x3_jan","ppa","crs_pa","prg_p","tot_dist","prg_dist","cmp_2","att_2","cmp_percent_3","cmp_3","att_3","cmp_percent_4","cmp_4","att_4","cmp_percent_5","sca_2","pass_live","pass_dead","to","sh","fld","def","gca_2","pass_live_2","pass_dead_2","to_2","sh_2","fld_2","def_2","carries_2","tot_dist_2","prg_dist_2","prg_c","x3_jan_2","cpa","mis","dis","rec","prg_r","att_5","succ","succ_percent_2","tkld","tkld_percent","tkl_2","tkl_w","def_3rd","mid_3rd","att_3rd","tkl_3","att_6","tkl_percent","lost","blocks","sh_3","pass","int_2","tkl_int","clr","err","won","lost_2","won_percent_2","pos"
"922","Cody Drameh",1293,"5","52","67.3","48.5","50","358","17","50","2022-2023","20","eng ENG","Luton Town","eng Championship","16","1,293","14.4","16","0","0","0","2","2","0","0","0","0","472","701","67.3","25","50","27","13","63","8977","4226","206","247","83.4","189","274","69","66","145","45.5","52","35","10","3","3","1","0","5","3","1","0","1","0","0","358","1972","1001","30","19","4","20","9","384","75","36","18","50","17","47.2","50","32","17","24","9","24","49","49","25","29","3","26","17","67","39","0","16","17","48.5","DF"
"923","Aaron Ramsey",1702,"9","70","79.8","39.1","50.9","602","9","26","2022-2023","19","eng ENG","2 Teams","eng Championship","29","1,702","18.9","21","8","1","8","4","12","8","0","0","0","602","754","79.8","28","55","31","0","94","9352","2155","337","393","85.8","200","233","85.8","44","61","72.1","70","61","0","5","1","3","0","9","8","0","0","1","0","0","602","3815","1775","49","37","19","38","31","717","125","55","28","50.9","23","41.8","26","16","9","14","3","8","18","44.4","10","20","1","19","9","35","10","0","9","14","39.1","MF,FW"
"924","Jack Clarke",3786,"16","147","71.8","31.8","45.6","1189","28","72","2022-2023","21","eng ENG","Sunderland","eng Championship","45","3,786","42.1","44","1","0","9","11","20","9","0","0","0","962","1340","71.8","75","48","38","6","98","17236","3868","433","529","81.9","395","484","81.6","111","225","49.3","147","98","12","13","10","14","0","16","11","0","2","2","1","0","1189","11386","5155","183","93","110","87","80","1252","302","195","89","45.6","71","36.4","72","51","28","31","13","39","67","58.2","28","46","7","39","28","100","38","0","21","45","31.8","FW,DF"
"925","Imran Louza",1435,"7","59","78.9","62.1","31","653","15","41","2022-2023","23","ma MAR","Watford","eng Championship","21","1,435","15.9","16","5","0","5","4","9","5","0","1","1","882","1118","78.9","38","97","13","2","128","14899","5028","446","493","90.5","297","346","85.8","108","220","49.1","59","33","22","0","1","0","3","7","3","3","0","1","0","0","653","3155","1590","25","23","2","32","15","845","49","29","9","31","15","51.7","41","22","16","22","3","23","47","48.9","24","26","0","26","15","56","11","0","18","11","62.1","MF"
"926","Chuba Akpom",3108,"17","72","80.3","40.3","45.7","750","7","26","2022-2023","26","eng ENG","Middlesbrough","eng Championship","38","3,108","34.5","35","3","1","28","2","30","24","4","6","2","566","705","80.3","23","75","18","0","98","8654","1921","325","378","86","176","218","80.7","46","61","75.4","72","46","0","9","12","4","1","17","14","0","1","2","0","0","750","5284","2472","86","62","16","70","49","887","185","94","43","45.7","35","37.2","26","16","5","18","3","6","15","40","9","30","6","24","7","33","15","0","60","89","40.3","MF,FW"
"927","Jamie Lindsay",1925,"2","20","74.5","40.7","27.3","326","15","48","2022-2023","26","sct SCO","Rotherham Utd","eng Championship","36","1,925","21.4","19","17","4","2","0","2","2","0","0","0","475","638","74.5","4","59","5","1","67","6847","1844","275","328","83.8","148","202","73.3","27","55","49.1","20","18","0","0","1","0","1","2","2","0","0","0","0","0","326","1348","554","4","5","2","20","11","436","23","11","3","27.3","7","63.6","48","31","19","20","9","22","48","45.8","26","38","7","31","15","63","39","0","24","35","40.7","MF"
"928","Thomas Sang",402,"0","6","68.6","61.5","50","155","5","12","2022-2023","23","eng ENG","Cardiff City","eng Championship","9","402","4.5","4","5","11","0","0","0","0","0","0","0","181","264","68.6","2","19","4","3","21","3054","1149","87","97","89.7","79","103","76.7","13","52","25","6","5","0","0","1","0","0","0","0","0","0","0","0","0","155","765","297","9","2","0","5","4","171","15","8","4","50","4","50","12","6","8","4","0","7","7","100","0","2","0","2","5","17","11","0","8","5","61.5","DF,MF"
"929","Gary Madine",1764,"4","36","61.9","52.3","52.9","300","4","8","2022-2023","31","eng ENG","Blackpool","eng Championship","27","1,764","19.6","23","4","0","4","4","8","4","0","0","0","276","446","61.9","23","24","12","0","42","3859","905","166","247","67.2","75","118","63.6","16","19","84.2","36","26","0","2","6","2","0","4","3","0","0","1","0","0","300","974","273","6","15","3","47","20","480","70","17","9","52.9","7","41.2","8","3","1","5","2","4","10","40","6","17","5","12","4","12","28","0","124","113","52.3","FW"
"930","Baba Rahman",1211,"0","11","66.5","57.9","30.4","314","16","39","2022-2023","28","gh GHA","Reading","eng Championship","18","1,211","13.5","13","5","1","0","0","0","0","0","0","0","360","541","66.5","3","30","9","5","28","5747","2086","191","227","84.1","128","188","68.1","29","81","35.8","11","9","0","0","0","1","1","0","0","0","0","0","0","0","314","1406","704","24","13","4","22","13","330","38","23","7","30.4","14","60.9","39","27","22","11","6","17","25","68","8","19","2","17","16","55","24","0","22","16","57.9","DF,FW"
"931","Okay Yokuşlu",2871,"4","55","82.5","72.6","71.8","925","50","75","2022-2023","28","tr TUR","West Brom","eng Championship","38","2,871","31.9","34","4","3","4","0","4","4","0","0","0","1270","1539","82.5","20","112","11","2","123","20704","6237","625","713","87.7","535","625","85.6","83","126","65.9","55","41","0","4","5","2","3","4","3","0","0","1","0","0","925","4336","1989","21","30","2","41","32","1105","30","39","28","71.8","8","20.5","75","47","31","37","7","34","54","63","20","39","17","22","50","125","62","1","119","45","72.6","MF"
