player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Jakub Łabojko,0,2020-2021,33,1390,12,21,5,1,1,2,1,740,80.8,11,7,79,2530,3228,40.860759493670884,0.4359683794466403,2.2104208416833666,14.823529411764707,23,2,0,1103,14,24,12,50,28,16,0.5714285714285714,25,19,45.2,31,0,1,0
Camillo Ciano,0,2020-2021,26,1442,16,10,3,3,2,5,3,628,60,40,21,57,2025,2160,37.89473684210526,0.3950617283950617,1.7094017094017093,11.407407407407407,85,0,0,800,30,120,23,65.2,19,10,0.5263157894736842,3,4,28.9,38,1,0,0
Alessandro Salvi,0,2020-2021,28,2160,25,3,6,2,0,2,2,1148,77,18,9,64,3531,4594,71.78125,0.4845652789578023,2.4030898876404496,54.39473684210526,53,1,2,1711,44,83,34,61.8,29,20,0.6896551724137931,33,46,58.2,91,0,0,1
Francesco Margiotta,0,2020-2021,30,1397,16,14,3,5,4,9,5,338,76.3,21,13,42,1090,861,20.5,0.3559633027522936,1.4007220216606497,2.0689655172413794,38,0,1,388,12,76,21,57.1,11,9,0.8181818181818182,2,3,6.5,31,1,0,0
Giulio Donati,0,2020-2021,28,2196,25,3,5,0,1,1,0,1785,81.3,32,41,163,4664,9895,60.70552147239264,0.5954116638078902,2.672762271414822,23.294117647058822,65,1,0,2777,53,127,13,38.5,37,28,0.7567567567567568,47,59,56.4,39,0,0,1
Massimo Bertagnoli,0,2020-2021,24,933,8,16,8,2,0,2,2,517,75.2,7,8,43,2161,1931,44.906976744186046,0.5418787598334105,3.3267045454545454,20,17,0,0,1171,29,46,17,58.8,27,16,0.5925925925925926,18,20,50,38,0,1,1
Fabrizio Caligara,0,2020-2021,15,882,12,3,2,0,2,2,0,348,66.1,12,10,39,1562,1428,36.61538461538461,0.528169014084507,3.173076923076923,9.6,25,0,0,825,16,24,22,63.6,31,16,0.5161290322580645,25,18,61.5,13,0,1,0
Domen Črnigoj,0,2020-2021,30,1243,12,18,1,3,0,3,3,522,67.6,18,11,58,2216,1724,29.724137931034484,0.5112815884476535,2.89769820971867,15.9375,46,1,0,1133,31,64,26,57.7,27,13,0.48148148148148145,19,11,48.4,31,0,1,0
Matteo Mancosu,0,2020-2021,28,1051,11,17,4,6,1,7,3,204,60.3,11,7,18,791,415,23.055555555555557,0.44879898862199746,2.261146496815287,22.46808510638298,19,0,1,355,15,59,8,75,6,4,0.6666666666666666,2,11,31.9,69,1,0,0
Stefano Pettinari,0,2020-2021,23,925,10,13,3,4,1,5,4,283,68.6,10,15,28,1526,732,26.142857142857142,0.4226736566186107,2.1217105263157894,14.736842105263158,28,0,0,645,28,107,25,48,4,2,0.5,2,2,42.4,33,1,0,0
Leonard Zuta,0,2020-2021,23,1532,17,6,15,0,0,0,0,924,77.8,9,19,101,2763,5427,53.73267326732673,0.44878754976474844,2.1305841924398625,20.689655172413794,21,0,0,1240,23,49,8,50,27,15,0.5555555555555556,32,28,40.8,49,0,0,1
Bright Gyamfi,0,2020-2021,25,1537,16,9,3,0,0,0,0,842,77.7,2,6,53,2860,4975,93.86792452830188,0.5797202797202797,3.2319688109161793,24.76923076923077,8,0,0,1658,16,7,14,71.4,46,26,0.5652173913043478,46,45,63.9,36,0,0,1
Cosimo Chiricò,0,2020-2021,18,988,11,7,2,0,1,1,0,392,74.5,14,7,38,2915,1152,30.31578947368421,0.3718696397941681,2.837696335078534,1.0714285714285714,52,0,0,1084,34,113,55,70.9,9,6,0.6666666666666666,9,0,6.7,15,1,1,0
Andrea Danzi,0,2020-2021,14,563,6,8,5,0,0,0,0,299,80.6,5,3,32,1052,1212,37.875,0.39448669201520914,1.8693693693693694,0,12,0,0,415,4,8,10,60,11,8,0.7272727272727273,16,4,0,2,0,1,0
Vlad Dragomir,0,2020-2021,17,1037,10,7,1,1,0,1,1,517,74.1,12,5,38,1664,1958,51.526315789473685,0.42127403846153844,1.7525,16.071428571428573,20,0,0,701,6,20,15,40,27,17,0.6296296296296297,20,31,51.7,29,0,1,0
Kevin Biondi,0,2020-2021,12,512,6,6,6,0,0,0,0,160,71.9,4,5,14,550,417,29.785714285714285,0.32727272727272727,1.6071428571428572,7.466666666666667,14,0,0,180,4,24,6,66.7,9,6,0.6666666666666666,7,7,31.8,22,0,1,1
Tom van de Looi,0,2020-2021,34,2385,27,7,2,2,1,3,2,1534,82.3,14,16,222,5518,7403,33.346846846846844,0.47426603841971726,2.48292220113852,39.407407407407405,42,1,0,2617,30,29,11,63.6,45,27,0.6,22,54,58.5,65,0,1,0
Marco Rosafio,0,2020-2021,30,840,5,25,6,2,2,4,2,380,70,17,17,46,1717,1037,22.543478260869566,0.4012813046010483,2.2516339869281046,13.464285714285714,43,0,0,689,18,106,22,45.5,4,1,0.25,6,0,31.7,41,1,1,0
Davide Frattesi,0,2020-2021,37,2455,28,9,1,8,2,10,8,1235,78.5,33,31,151,6618,4228,28,0.4968268359020852,3.1645813282001924,21.77777777777778,100,2,0,3288,76,148,83,54.2,59,41,0.6949152542372882,22,24,43.8,48,0,1,0
Grigoris Kastanos,0,2020-2021,34,2397,26,8,1,2,1,3,2,1123,78.3,34,29,145,4628,4657,32.11724137931034,0.5291702679343129,2.936450839328537,43.23529411764706,92,1,0,2449,65,87,39,59,60,35,0.5833333333333334,32,21,55.3,76,0,1,0
Luca Valzania,0,2020-2021,37,2973,37,0,0,5,1,6,5,1266,73.7,40,29,183,4915,5346,29.21311475409836,0.469175991861648,2.650574712643678,55.35,101,5,0,2306,59,122,43,60.5,66,45,0.6818181818181818,61,42,57.4,94,1,1,0
Daniele Donnarumma,0,2020-2021,27,2038,23,4,9,1,7,8,1,1671,64.2,41,42,142,5476,11136,78.4225352112676,0.5235573411249087,2.9833506763787723,30.967741935483872,77,4,0,2867,70,77,34,67.6,56,34,0.6071428571428571,41,45,49.2,61,0,0,1
Luca Strizzolo,0,2020-2021,26,1344,17,9,3,7,2,9,7,388,57.7,14,3,26,973,603,23.192307692307693,0.4039054470709147,1.5291828793774318,70.1311475409836,39,1,0,393,10,89,15,46.7,18,8,0.4444444444444444,7,13,53.1,130,1,0,0
Marco Mancosu,0,2020-2021,30,2005,21,9,0,8,10,18,5,1205,69.5,84,56,134,4888,4555,33.992537313432834,0.5368248772504092,2.981818181818182,16.941176470588236,155,2,2,2624,79,194,42,61.9,20,10,0.5,14,6,48.5,33,0,1,0
Luca Bittante,0,2020-2021,18,1404,17,1,0,1,0,1,1,714,70,14,11,69,2043,3271,47.405797101449274,0.5007342143906021,2.3680555555555554,21.583333333333332,37,2,0,1023,24,83,17,52.9,18,16,0.8888888888888888,15,30,36.8,57,0,1,1
Mirko Bruccini,0,2020-2021,11,616,7,4,6,0,0,0,0,262,82.4,2,4,35,703,1174,33.542857142857144,0.38975817923186346,1.5054945054945055,4.571428571428571,9,1,0,274,4,9,2,100,10,6,0.6,9,12,36.4,11,0,1,0
Riccardo Meggiorini,0,2020-2021,29,1788,23,6,0,11,4,15,11,607,59,28,15,59,2394,1421,24.084745762711865,0.38011695906432746,1.9868995633187774,103.0625,62,1,0,910,34,130,37,62.2,12,8,0.6666666666666666,4,17,51.5,198,1,0,0
Davide Bettella,0,2020-2021,17,1408,16,1,14,2,0,2,2,1006,90,3,2,54,3532,7294,135.07407407407408,0.513590033975085,2.562146892655367,34.57142857142857,5,0,0,1814,4,3,4,75,15,8,0.5333333333333333,31,82,61.1,54,0,0,1
Marcel Büchel,0,2020-2021,27,1938,24,3,3,1,1,2,1,1147,77.9,21,8,96,2981,4732,49.291666666666664,0.3317678631331768,1.4291907514450868,46.36363636363637,48,3,0,989,7,13,18,50,36,21,0.5833333333333334,63,47,57.7,78,0,1,0
Gaetano Masucci,0,2020-2021,15,572,7,8,1,2,2,4,2,134,65.7,5,2,13,565,330,25.384615384615383,0.2849557522123894,1.4770642201834863,22.916666666666668,11,0,0,161,6,34,3,0,10,6,0.6,8,6,47.8,46,1,1,0
Raffaele Pucino,0,2020-2021,32,2613,29,3,2,1,3,4,1,1778,78.7,19,27,193,5615,11836,61.32642487046632,0.5455031166518255,2.631443298969072,37.38461538461539,55,1,0,3063,60,71,17,64.7,52,28,0.5384615384615384,43,82,58.1,62,0,0,1
Leonardo Mancuso,0,2020-2021,37,2657,32,5,0,20,4,24,18,657,70.8,44,25,67,3110,1682,25.104477611940297,0.43344051446945336,2.2354892205638475,41.60294117647059,117,3,0,1348,62,235,38,47.4,8,3,0.375,7,12,37.6,109,1,0,0
Christian Maggio,0,2020-2021,17,1514,17,0,1,3,2,5,3,984,74.9,14,22,113,3733,5789,51.230088495575224,0.5845164746852397,3.1486291486291487,15.882352941176471,35,0,0,2182,42,75,26,50,28,17,0.6071428571428571,18,37,46.9,32,0,0,1
Riccardo Brosco,0,2020-2021,33,2904,33,0,0,1,0,1,1,1417,78.5,8,2,68,5085,10122,148.85294117647058,0.5236971484759095,2.8603651987110634,123.67123287671232,13,1,0,2663,12,0,3,100,20,11,0.55,52,181,62.6,195,0,0,1
Luca Zamparo,0,2020-2021,28,1235,15,13,8,1,0,1,1,253,60.9,8,2,20,1644,496,24.8,0.22871046228710462,1.5284552845528456,47.79661016949152,25,1,0,376,18,92,20,40,8,5,0.625,2,14,44.3,106,1,0,0
Andrea Barberis,0,2020-2021,33,2017,20,13,1,1,5,6,1,1211,81.2,34,14,111,3282,5958,53.67567567567568,0.4960390006093845,2.2994350282485874,16.64,65,1,0,1628,13,20,7,85.7,39,26,0.6666666666666666,37,29,39,41,0,1,0
Simone Missiroli,0,2020-2021,31,1977,20,11,5,0,2,2,0,1217,81.9,24,19,134,3697,4657,34.75373134328358,0.5047335677576413,2.4649933949801848,62.32608695652174,40,1,0,1866,35,30,8,25,33,23,0.696969696969697,48,44,57,107,0,1,0
Massimiliano Mangraviti,0,2020-2021,30,2255,24,6,5,2,0,2,2,1299,83.9,3,2,94,5863,8151,86.7127659574468,0.5353914378304622,3.3287380699893956,57.696969696969695,11,1,0,3139,19,5,4,100,25,14,0.56,41,106,62.9,89,0,0,1
Francesco Di Mariano,0,2020-2021,31,1705,16,15,6,2,6,8,2,536,67.7,27,27,36,4325,1312,36.44444444444444,0.4261271676300578,3.578640776699029,15.882352941176471,68,1,0,1843,62,164,27,44.4,20,15,0.75,16,13,46.9,32,1,1,0
Mattia Viviani,0,2020-2021,32,1562,16,16,1,0,0,0,0,865,83.2,7,8,96,2922,3599,37.489583333333336,0.45242984257357977,2.12540192926045,21.636363636363637,25,1,0,1322,12,12,26,84.6,55,32,0.5818181818181818,23,19,38.9,54,0,1,0
Salvatore Pezzella,0,2020-2021,22,560,4,18,15,0,1,1,0,349,76.8,11,9,47,1440,1619,34.4468085106383,0.47638888888888886,2.45,8.166666666666666,20,0,0,686,12,10,12,83.3,10,5,0.5,6,2,53.8,13,0,1,0
Marco Crimi,0,2020-2021,30,1731,20,10,6,0,0,0,0,737,70.7,10,11,74,2204,2675,36.148648648648646,0.3874773139745917,1.7464212678936606,23.22222222222222,35,1,0,854,13,48,24,45.8,58,41,0.7068965517241379,32,20,55,40,0,1,0
Marco Fossati,0,2020-2021,10,472,7,3,8,0,1,1,0,369,86.7,7,2,32,1157,1433,44.78125,0.5315471045808124,2.9285714285714284,8.4,12,0,0,615,7,2,2,100,18,12,0.6666666666666666,9,8,58.3,12,0,1,0
Pietro Beruatto,0,2020-2021,26,1985,23,3,7,0,6,6,0,1311,72.8,27,22,104,4462,8345,80.24038461538461,0.5596145226355894,3.268324607329843,32.19230769230769,55,1,0,2497,59,68,37,35.1,46,30,0.6521739130434783,31,56,54.4,57,0,0,1
Luca Palmiero,0,2020-2021,37,2876,33,4,0,1,3,4,1,2183,78.8,56,21,271,6197,11970,44.169741697416974,0.5350976278844602,2.3685714285714288,19,116,3,0,3316,38,46,24,33.3,87,50,0.5747126436781609,51,40,50,36,0,1,0
Gianluca Gaetano,0,2020-2021,34,1892,24,10,3,5,3,8,5,787,74.5,55,27,88,3250,2655,30.170454545454547,0.4470769230769231,2.3435483870967744,20.51282051282051,114,0,0,1453,48,165,62,54.8,23,17,0.7391304347826086,12,12,33.9,59,1,1,0
Germán Denis,0,2020-2021,30,1224,9,21,3,4,1,5,4,440,67.5,9,8,36,1519,725,20.13888888888889,0.3357472021066491,1.6776315789473684,73.18032786885246,36,0,0,510,15,75,20,65,11,9,0.8181818181818182,4,24,54.1,133,1,0,0
Kyle Lafferty,0,2020-2021,9,403,4,5,1,1,0,1,1,91,59.3,4,3,5,316,128,25.6,0.20569620253164558,0.8552631578947368,16.842105263157894,6,0,0,65,3,20,5,60,2,0,0,1,7,45.7,35,1,0,0
Jacopo Segre,0,2020-2021,18,1073,11,7,0,1,1,2,1,383,76.2,7,4,29,1907,947,32.6551724137931,0.502884111169376,2.8626865671641792,17.85,17,0,0,959,23,61,20,55,31,18,0.5806451612903226,15,15,45.9,37,0,1,0
Aleksa Terzić,0,2020-2021,21,1650,18,3,9,0,1,1,0,1171,75.4,23,30,70,4818,5655,80.78571428571429,0.5614362806143628,3.7465373961218837,16.842105263157894,49,1,0,2705,67,80,39,51.3,33,19,0.5757575757575758,30,37,45.7,35,0,0,1
Nicolò Casale,0,2020-2021,24,1853,20,4,9,1,0,1,1,1194,85.9,10,7,80,5229,7020,87.75,0.672403901319564,4.530927835051546,56.145833333333336,17,0,0,3516,33,17,3,66.7,35,23,0.6571428571428571,30,69,53.4,103,0,0,1
Luca Ghiringhelli,0,2020-2021,24,1859,22,2,6,1,1,2,1,1204,67.4,16,24,90,2870,7483,83.14444444444445,0.46689895470383275,2.067901234567901,20.90909090909091,38,0,0,1340,21,60,5,40,29,16,0.5517241379310345,35,70,47.6,42,0,0,1
Marcos Curado,0,2020-2021,16,1400,15,1,16,0,0,0,0,728,83.2,1,3,50,3102,4146,82.92,0.5873629916183107,3.463878326996198,50.4,13,0,0,1822,21,0,7,71.4,25,18,0.72,27,51,70.6,68,0,0,1
Milan Đurić,0,2020-2021,35,2369,25,10,1,5,2,7,3,857,56.1,33,19,55,1086,1273,23.145454545454545,0.30478821362799263,0.8337531486146096,341.59574468085106,63,0,0,331,8,135,14,92.9,13,7,0.5384615384615384,4,36,78.2,432,1,0,0
Andrea Papetti,0,2020-2021,17,1200,13,4,14,1,0,1,1,732,84.6,0,0,40,3110,4120,103,0.5720257234726688,3.2054054054054055,19.82608695652174,5,0,0,1779,8,1,3,100,20,10,0.5,21,51,45.2,42,0,0,1
Jérémy Ménez,0,2020-2021,18,1019,11,7,4,3,2,5,2,497,75.1,18,19,69,3076,1798,26.057971014492754,0.44993498049414826,3.1743119266055047,2.6666666666666665,46,0,2,1384,49,109,37,54.1,14,7,0.5,3,1,40,5,1,1,0
Nicola Pasini,0,2020-2021,21,1708,18,3,13,1,0,1,1,678,79.4,2,1,23,2088,4808,209.04347826086956,0.4870689655172414,2.4804878048780488,62.41860465116279,6,2,0,1017,3,0,1,100,20,14,0.7,32,67,58.7,104,0,0,1
Tomi Petrović,0,2020-2021,12,471,5,7,5,0,0,0,0,105,70.5,7,2,11,384,173,15.727272727272727,0.3098958333333333,1.2934782608695652,16.571428571428573,17,0,0,119,5,28,8,50,2,0,0,1,6,36.4,44,1,1,0
Luca Mora,0,2020-2021,17,1106,14,3,0,1,0,1,1,551,73.9,12,21,75,1779,2095,27.933333333333334,0.4378864530635188,1.9771573604060915,36.94444444444444,32,0,0,779,21,62,13,46.2,15,7,0.4666666666666667,11,19,66,53,0,1,0
Mohamed Bahlouli,0,2020-2021,24,920,8,16,11,2,0,2,2,372,73.9,22,5,58,2400,1370,23.620689655172413,0.47708333333333336,3.28080229226361,7.4375,45,1,0,1145,35,38,37,64.9,15,10,0.6666666666666666,7,6,30.4,23,0,1,0
Antonio Di Gaudio,0,2020-2021,16,537,4,12,1,1,0,1,1,123,65.9,2,5,14,994,361,25.785714285714285,0.45774647887323944,3.2971014492753623,2.25,13,0,0,455,21,47,17,35.3,8,2,0.25,2,3,20,10,1,1,0
Andrea Beghetto,0,2020-2021,27,1898,22,5,8,0,2,2,0,1111,66.8,41,45,85,2876,6593,77.56470588235294,0.5448539638386648,2.3599397590361444,1.1,59,0,0,1567,35,129,17,29.4,15,9,0.6,17,38,9.1,11,0,0,1
Federico Proia,0,2020-2021,35,2497,30,5,2,7,2,9,7,858,74.2,24,23,101,3161,2879,28.504950495049506,0.43467257197089526,2.072398190045249,39.78,57,0,0,1374,30,117,43,53.5,84,53,0.6309523809523809,28,35,43.8,89,0,1,0
Antonio Vacca,0,2020-2021,14,844,13,1,2,0,0,0,0,659,87.9,6,7,56,2010,3473,62.017857142857146,0.49850746268656715,2.3248259860788862,6.75,19,1,0,1002,8,3,12,58.3,21,11,0.5238095238095238,21,23,42.9,14,0,1,0
Nicola Pavan,0,2020-2021,25,1487,17,8,5,2,1,3,2,789,73.3,9,7,96,2199,3644,37.958333333333336,0.4315597999090496,2.1519274376417235,50.11363636363637,24,0,0,949,15,21,6,66.7,44,22,0.5,38,37,52.7,93,0,1,0
Giuseppe Sibilli,0,2020-2021,19,780,6,13,8,3,2,5,3,269,71.4,25,15,26,1736,704,27.076923076923077,0.5167050691244239,3.1038062283737022,8.5,44,1,2,897,42,99,30,60,12,9,0.75,2,5,33.3,24,1,1,0
Thiago Cionek,0,2020-2021,29,2411,26,3,7,1,1,2,1,1360,84.2,2,2,72,5401,8320,115.55555555555556,0.6258100351786706,3.6939890710382515,78.50980392156863,11,1,0,3380,23,3,4,50,31,24,0.7741935483870968,58,116,60.2,128,0,0,1
Ivan Lakićević,0,2020-2021,11,894,10,1,6,0,2,2,0,485,68.7,7,4,46,1369,2851,61.97826086956522,0.5704894083272462,3.124,11.25,14,0,0,781,17,35,13,61.5,8,6,0.75,14,25,69.2,13,0,0,1
Tasos Avlonitis,0,2020-2021,15,1276,15,0,19,0,0,0,0,543,79.6,1,0,14,1341,2866,204.71428571428572,0.4004474272930649,1.6174698795180722,34.43478260869565,5,1,0,537,0,1,1,100,17,13,0.7647058823529411,35,74,58.9,56,0,0,1
Mauro Coppolaro,0,2020-2021,21,1599,18,3,9,0,0,0,0,940,76.5,8,17,44,3081,5429,123.38636363636364,0.5183382018825057,2.8265486725663718,24.96,19,0,0,1597,24,22,13,92.3,23,18,0.782608695652174,23,45,49,49,0,0,1
Emanuele Ndoj,0,2020-2021,14,653,8,6,1,5,0,5,5,337,81.6,5,10,44,1837,1159,26.34090909090909,0.49319542732716387,3.040268456375839,10.125,20,0,0,906,22,37,14,64.3,19,13,0.6842105263157895,2,5,52.9,17,0,1,0
Abdelhamid Sabiri,0,2020-2021,32,2305,30,2,1,8,4,12,7,948,72,51,17,108,4098,3641,33.71296296296296,0.43142996583699367,2.2155388471177946,54.964285714285715,89,5,2,1768,46,104,90,50,62,36,0.5806451612903226,25,14,49.1,110,1,1,0
Francesco De Rose,0,2020-2021,9,507,5,4,9,0,1,1,0,273,75.8,6,5,24,714,1468,61.166666666666664,0.5532212885154062,2.0789473684210527,0,11,1,0,395,2,3,7,100,21,10,0.47619047619047616,7,7,0,1,0,1,0
Riad Bajić,0,2020-2021,34,2394,28,6,4,12,1,13,12,539,79.2,29,14,46,2645,985,21.41304347826087,0.27561436672967865,1.3651685393258426,44.38260869565217,67,1,2,729,19,197,37,54.1,6,5,0.8333333333333334,8,10,27.7,159,1,0,0
Igor Radrezza,0,2020-2021,36,2669,31,5,1,3,5,8,3,2007,75.7,85,58,187,7534,9662,51.668449197860966,0.44584550039819487,2.427023121387283,18.41860465116279,143,1,0,3359,61,153,58,65.5,26,19,0.7307692307692307,20,10,29.5,61,0,1,0
Alessandro Quaini,0,2020-2021,13,584,7,6,14,0,0,0,0,401,86.8,7,1,58,1740,2269,39.12068965517241,0.5770114942528736,3.4149659863945576,9,17,2,0,1004,11,2,5,20,7,5,0.7142857142857143,11,2,50,16,0,1,0
Andrea Schiavone,0,2020-2021,28,1007,9,19,7,0,1,1,0,401,69.1,23,4,35,964,1645,47,0.43775933609958506,2.0686274509803924,6.6,39,2,0,422,6,16,10,60,19,14,0.7368421052631579,27,26,37.5,16,0,1,0
Mirko Carretta,0,2020-2021,35,2541,29,6,1,5,1,6,4,731,59.6,31,43,59,4332,1977,33.50847457627118,0.4727608494921514,3.303225806451613,8.235294117647058,86,1,0,2048,91,245,61,42.6,8,4,0.5,7,2,19,42,1,0,0
Emanuele Cicerelli,0,2020-2021,29,1157,11,18,8,2,2,4,2,389,69.7,20,20,33,4021,1254,38,0.5334493906988311,5.644736842105263,7.583333333333333,43,1,0,2145,76,80,71,59.2,23,14,0.6086956521739131,14,9,36.8,19,0,1,1
Enrico Del Prato,0,2020-2021,26,2234,25,1,10,0,1,1,0,1337,79.4,13,19,127,3870,7917,62.338582677165356,0.5651162790697675,2.768354430379747,46.93877551020408,47,1,0,2187,44,48,7,28.6,28,18,0.6428571428571429,47,73,48.4,95,0,0,1
Massimo Coda,0,2020-2021,36,2756,33,3,1,22,8,30,18,806,63.9,47,42,81,4290,1723,21.271604938271604,0.39533799533799535,2.130653266331658,72.6,123,3,5,1696,72,316,73,65.8,12,7,0.5833333333333334,8,15,37.5,192,1,0,0
Youssef Maleh,0,2020-2021,29,2303,27,2,0,4,4,8,4,934,76.2,35,22,100,4136,3325,33.25,0.5650386847195358,3.2639664804469275,18.6,70,1,1,2337,57,102,22,59.1,45,28,0.6222222222222222,24,26,37.5,48,0,1,0
Fabio Ceravolo,0,2020-2021,20,569,5,15,11,0,0,0,0,136,69.1,3,4,8,699,273,34.125,0.48354792560801146,2.661417322834646,8.307692307692308,13,0,0,338,11,53,7,85.7,4,1,0.25,2,3,23.5,34,1,1,0
Filip Jagiełło,0,2020-2021,34,2016,24,10,0,6,5,11,6,1281,76.1,50,31,135,5522,4431,32.82222222222222,0.46215139442231074,2.552,14.368421052631579,104,0,1,2552,54,165,36,61.1,20,14,0.7,13,11,26.9,52,0,1,0
Pietro Ceccaroni,0,2020-2021,37,3330,37,0,0,3,2,5,3,2253,87.2,11,8,131,10533,14521,110.8473282442748,0.6586917307509731,4.194679564691657,81.86046511627907,37,1,0,6938,48,6,15,73.3,21,12,0.5714285714285714,47,176,65,123,0,0,1
Luca Rigoni,0,2020-2021,26,1790,22,4,9,2,2,4,2,980,83.4,10,9,109,2356,5068,46.4954128440367,0.48174872665534807,2.109665427509294,36.83720930232558,39,2,0,1135,12,21,12,66.7,33,23,0.696969696969697,38,30,45.6,79,0,1,0
Szymon Żurkowski,0,2020-2021,25,1262,14,11,7,2,0,2,2,505,82.4,13,14,58,3154,1177,20.29310344827586,0.5656309448319594,3.982142857142857,12.631578947368421,52,2,0,1784,47,78,31,51.6,32,16,0.5,20,15,38.7,31,0,1,0
Angelo Corsi,0,2020-2021,33,1764,18,15,2,1,2,3,1,955,74.2,27,27,77,2578,5139,66.74025974025975,0.4992242048099302,2.2778761061946904,13.764705882352942,58,2,0,1287,30,85,15,46.7,65,38,0.5846153846153846,21,30,43.3,30,0,0,1
Mario Gargiulo,0,2020-2021,35,1644,18,17,2,8,2,10,8,694,68.2,27,28,71,2920,2191,30.859154929577464,0.47363013698630135,2.690661478599222,43.87755102040816,48,0,1,1383,47,118,20,30,26,15,0.5769230769230769,14,25,46.7,92,0,1,0
Alessandro Marotta,0,2020-2021,12,493,5,7,7,1,0,1,1,134,74.6,1,1,7,652,235,33.57142857142857,0.34662576687116564,1.808,18.692307692307693,9,0,0,226,9,41,10,50,2,2,1,1,2,40.9,44,1,0,0
Riccardo Bocalon,0,2020-2021,27,786,7,20,9,2,0,2,2,185,60.5,4,2,13,664,263,20.23076923076923,0.28463855421686746,1.2684563758389262,34.69387755102041,20,0,0,189,5,48,11,45.5,4,2,0.5,2,9,41,83,1,0,0
Agostino Camigliano,0,2020-2021,17,1166,13,4,17,0,1,1,0,646,79.1,2,1,40,2011,3494,87.35,0.555942317255097,2.624413145539906,35.7,9,0,0,1118,5,5,1,100,16,10,0.625,15,49,63,54,0,0,1
Nicolò Brighenti,0,2020-2021,30,2473,29,1,2,1,1,2,1,1584,76.5,12,8,132,4649,11061,83.79545454545455,0.6311034631103463,2.9938775510204083,38.608695652173914,36,2,0,2934,21,11,4,100,38,28,0.7368421052631579,65,98,61.7,60,0,0,1
Riccardo Martinelli,0,2020-2021,19,1338,15,4,8,1,1,2,1,637,80.1,2,4,47,2096,3877,82.48936170212765,0.5295801526717557,2.8756476683937824,49.285714285714285,7,2,0,1110,10,5,5,40,19,14,0.7368421052631579,53,52,76.7,60,0,0,1
Alfredo Donnarumma,0,2020-2021,24,1480,15,9,3,7,3,10,4,367,69.2,16,15,30,1372,709,23.633333333333333,0.44533527696793,1.990228013029316,20.625,48,0,0,611,18,110,14,57.1,5,1,0.2,9,1,38.5,52,1,1,0
Fabio Maistro,0,2020-2021,29,1825,22,7,1,4,0,4,4,777,82.9,16,12,85,4492,1980,23.294117647058822,0.41718610863757793,2.6357243319268635,10.416666666666666,45,0,1,1874,53,126,81,50.6,25,13,0.52,6,10,29.4,34,1,1,0
Valerio Mantovani,0,2020-2021,16,1197,14,2,17,0,0,0,0,345,63.2,0,1,14,828,2254,161,0.4444444444444444,2.13953488372093,25.846153846153847,1,0,0,368,1,1,1,100,12,9,0.75,25,43,64.9,37,0,0,1
Fabio Pisacane,0,2020-2021,10,570,7,3,8,0,0,0,0,349,89.1,1,1,13,1517,2203,169.46153846153845,0.4904416611733685,2.6013986013986012,12.6,3,0,0,744,1,2,2,50,9,3,0.3333333333333333,6,28,37.5,32,0,0,1
Lucas Castro,0,2020-2021,11,739,9,2,0,3,3,6,2,352,69,14,7,37,1520,952,25.72972972972973,0.4618421052631579,2.2866449511400653,6.857142857142857,31,1,0,702,17,50,28,60.7,7,5,0.7142857142857143,5,7,46.2,13,0,1,0
Nicola Dalmonte,0,2020-2021,19,1339,15,4,4,4,5,9,4,615,62.6,30,19,63,2959,2459,39.03174603174603,0.4481243663399797,2.7510373443983402,2.1052631578947367,67,1,1,1326,42,115,36,47.2,19,15,0.7894736842105263,19,7,9.5,21,1,1,0
Anderson Lima,0,2020-2021,28,897,10,18,4,5,3,8,4,248,67.3,13,10,38,1622,1023,26.92105263157895,0.46979038224414305,2.9765625,9.9,33,0,0,762,16,30,36,55.6,23,15,0.6521739130434783,7,1,47.4,19,1,1,0
Vasile Mogos,0,2020-2021,35,2918,33,2,2,3,6,9,3,2103,69.9,38,37,176,7374,11043,62.74431818181818,0.5185787903444535,3.1840133222314737,64.21153846153847,70,1,0,3824,104,201,32,43.8,65,46,0.7076923076923077,49,81,54.8,115,0,0,1
Patryk Dziczek,0,2020-2021,15,541,5,10,4,0,0,0,0,229,66.8,7,3,20,468,1136,56.8,0.2863247863247863,1.089430894308943,7.636363636363637,16,0,0,134,3,5,8,75,17,14,0.8235294117647058,9,10,38.9,18,0,1,0
Salvatore D'Elia,0,2020-2021,14,526,6,8,12,0,1,1,0,287,70,1,3,18,1001,1437,79.83333333333333,0.5134865134865135,3.1728395061728394,5,4,0,0,514,13,29,4,50,9,6,0.6666666666666666,4,5,50,8,0,0,1
