player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Wesley Fofana,1,2019-2020,14,1215,13,1,2,1,0,1,1,657,81.6,2,0,33,3351,2969,89.96969696969697,0.600119367353029,4.324731182795699,64.58333333333333,6,0,0,2011,30,4,8,37.5,25,15,0.6,36,55,72.1,86,0,0,1
Islam Slimani,1,2019-2020,18,1285,14,4,1,9,7,16,8,536,67.9,32,21,57,1527,1610,28.24561403508772,0.3608382449246889,1.2873831775700935,50.06521739130435,53,1,2,551,20,142,20,40,8,4,0.5,1,11,51.6,95,1,0,0
Fousseni Diabaté,1,2019-2020,20,1190,15,5,2,1,3,4,1,469,74.6,13,6,27,2806,1168,43.25925925925926,0.43763364219529577,3.430167597765363,8.470588235294118,24,0,1,1228,47,111,47,61.7,16,10,0.625,8,3,32,25,1,1,0
Adrien Silva,1,2019-2020,22,1221,13,9,1,0,2,2,0,851,85.5,15,8,92,2060,3940,42.82608695652174,0.5169902912621359,2.0841487279843443,10.625,37,1,0,1065,14,21,31,67.7,37,22,0.5945945945945946,12,14,38.5,26,0,1,0
Ovie Ejaria,1,2019-2020,36,3101,36,0,1,3,5,8,3,1278,82.6,37,29,127,7362,3969,31.251968503937007,0.48193425699538167,3.1706881143878465,26.52,107,2,1,3548,99,121,171,64.9,50,25,0.5,52,31,34.2,76,1,1,0
Patrick Roberts,1,2019-2020,10,608,8,2,2,1,2,3,1,190,66.3,19,9,19,1533,661,34.78947368421053,0.5088062622309197,4.35754189944134,0,39,0,1,780,33,42,41,48.8,4,2,0.5,1,1,0,9,1,1,0
Jack Harrison,1,2019-2020,46,3794,45,1,0,6,8,14,6,1613,66.2,86,92,178,8984,6013,33.78089887640449,0.5277159394479074,3.8264729620661826,25.416666666666668,186,0,1,4741,166,464,144,59,48,26,0.5416666666666666,22,24,29.4,85,1,1,0
Lukas Nmecha,1,2019-2020,11,472,4,7,9,0,0,0,0,92,66.3,6,2,7,712,166,23.714285714285715,0.39325842696629215,2.5225225225225225,5.384615384615385,12,0,0,280,12,37,15,60,7,6,0.8571428571428571,6,3,27.8,18,1,1,0
Patrick Roberts,1,2019-2020,10,608,8,2,2,1,2,3,1,190,66.3,19,9,19,1533,661,34.78947368421053,0.5088062622309197,4.35754189944134,0,39,0,1,780,33,42,41,48.8,4,2,0.5,1,1,0,9,1,1,0
Tosin Adarabioyo,1,2019-2020,34,2966,33,1,2,3,1,4,3,1705,79.9,7,0,69,4148,12763,184.97101449275362,0.573288331726133,2.313229571984436,110.34782608695652,22,0,0,2378,11,7,12,83.3,30,17,0.5666666666666667,64,166,70.1,154,0,0,1
