,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
79,Isaac Romero,4,"1,039",2023-2024,23,es ESP,Sevilla,es La Liga,14,"1,039",11.5,14,0,0,4,4,8,4,0,0,0,FW
80,Darwin Machís,4,785,2023-2024,30,ve VEN,Cádiz,es La Liga,21,785,8.7,10,11,12,4,0,4,3,1,1,0,MF
81,Rubén Alcaraz,3,"3,134",2023-2024,32,es ESP,Cádiz,es La Liga,36,"3,134",34.8,36,0,0,3,1,4,1,2,2,0,MF
82,Sergio Ramos,3,"2,517",2023-2024,37,es ESP,Sevilla,es La Liga,28,"2,517",28,28,0,3,3,0,3,3,0,0,0,DF
83,Kike Salas,3,"1,605",2023-2024,21,es ESP,Sevilla,es La Liga,23,"1,605",17.8,19,4,6,3,0,3,3,0,0,0,DF
84,Jorge Cuenca,3,"1,963",2023-2024,23,es ESP,Villarreal,es La Liga,29,"1,963",21.8,21,8,6,3,1,4,3,0,0,0,DF
85,Rodrigo De Paul,3,"2,075",2023-2024,29,ar ARG,Atlético Madrid,es La Liga,34,"2,075",23.1,25,9,0,3,5,8,3,0,0,0,MF
86,Sergi Roberto,3,860,2023-2024,31,es ESP,Barcelona,es La Liga,14,860,9.6,10,4,14,3,2,5,3,0,0,0,"MF,DF"
87,Anthony Lozano,3,864,2023-2024,30,hn HON,2 Teams,es La Liga,19,864,9.6,10,9,15,3,0,3,3,0,0,0,"MF,FW"
88,André Silva,3,729,2023-2024,27,pt POR,Real Sociedad,es La Liga,19,729,8.1,9,10,9,3,0,3,2,1,1,0,FW
89,Jon Guridi,3,"2,678",2023-2024,28,es ESP,Alavés,es La Liga,36,"2,678",29.8,34,2,1,3,4,7,3,0,0,0,MF
90,Aurélien Tchouaméni,3,"1,987",2023-2024,23,fr FRA,Real Madrid,es La Liga,27,"1,987",22.1,22,5,1,3,1,4,3,0,0,0,"MF,DF"
91,Moi Gómez,3,"2,006",2023-2024,29,es ESP,Osasuna,es La Liga,28,"2,006",22.3,23,5,5,3,0,3,3,0,0,0,"MF,FW"
92,Rubén García,3,"1,547",2023-2024,30,es ESP,Osasuna,es La Liga,30,"1,547",17.2,19,11,6,3,2,5,3,0,0,0,"FW,MF"
93,Rodrigo Riquelme,3,"1,528",2023-2024,23,es ESP,Atlético Madrid,es La Liga,34,"1,528",17,17,17,4,3,5,8,3,0,0,0,"DF,MF"
94,Umar Sadiq,3,"1,077",2023-2024,26,ng NGA,Real Sociedad,es La Liga,26,"1,077",12,12,14,10,3,1,4,3,0,0,0,FW
95,Florian Lejeune,3,"3,327",2023-2024,32,fr FRA,Rayo Vallecano,es La Liga,37,"3,327",37,37,0,0,3,1,4,3,0,0,0,DF
96,Daniel Parejo,3,"2,580",2023-2024,34,es ESP,Villarreal,es La Liga,33,"2,580",28.7,29,4,1,3,5,8,0,3,3,0,MF
97,Pablo Fornals,3,"1,148",2023-2024,27,es ESP,Betis,es La Liga,15,"1,148",12.8,14,1,0,3,2,5,3,0,0,0,"FW,MF"
98,Juanmi,3,873,2023-2024,30,es ESP,Cádiz,es La Liga,16,873,9.7,9,7,0,3,1,4,3,0,0,0,FW
99,Munir El Haddadi,3,"2,449",2023-2024,27,ma MAR,Las Palmas,es La Liga,38,"2,449",27.2,32,6,0,3,2,5,3,0,1,1,FW
100,Sergio Camello,3,"1,661",2023-2024,22,es ESP,Rayo Vallecano,es La Liga,31,"1,661",18.5,20,11,6,3,1,4,3,0,0,0,FW
101,Carlos Benavídez,3,"1,136",2023-2024,25,uy URU,Alavés,es La Liga,29,"1,136",12.6,10,19,4,3,1,4,3,0,0,0,MF
102,Aleix García,3,"3,199",2023-2024,26,es ESP,Girona,es La Liga,37,"3,199",35.5,36,1,0,3,6,9,3,0,0,0,MF
103,Antonio Sánchez,3,"1,452",2023-2024,26,es ESP,Mallorca,es La Liga,29,"1,452",16.1,21,8,9,3,1,4,3,0,0,0,MF
104,Mikel Vesga,3,"1,534",2023-2024,30,es ESP,Athletic Club,es La Liga,27,"1,534",17,18,9,6,3,1,4,1,2,2,0,MF
105,Jonathan Bamba,3,"1,981",2023-2024,27,ci CIV,Celta Vigo,es La Liga,27,"1,981",22,24,3,3,3,2,5,3,0,0,0,"MF,FW"
106,Yuri Berchiche,3,"1,930",2023-2024,33,es ESP,Athletic Club,es La Liga,27,"1,930",21.4,22,5,0,3,1,4,3,0,0,0,DF
107,Antonio Raillo,3,"2,195",2023-2024,31,es ESP,Mallorca,es La Liga,26,"2,195",24.4,25,1,3,3,2,5,3,0,0,0,DF
108,Alberto Moleiro,3,"1,803",2023-2024,19,es ESP,Las Palmas,es La Liga,28,"1,803",20,21,7,0,3,3,6,3,0,0,0,"FW,MF"
109,Diego López,3,"2,656",2023-2024,21,es ESP,Valencia,es La Liga,36,"2,656",29.5,30,6,0,3,6,9,3,0,0,0,"MF,FW"
110,Luka Romero,3,438,2023-2024,18,ar ARG,Almería,es La Liga,13,438,4.9,5,8,4,3,0,3,3,0,0,0,FW
111,Roman Yaremchuk,3,928,2023-2024,27,ua UKR,Valencia,es La Liga,25,928,10.3,11,14,4,3,0,3,3,0,0,0,FW
112,Largie Ramazani,3,"1,555",2023-2024,22,be BEL,Almería,es La Liga,29,"1,555",17.3,16,13,2,3,5,8,3,0,0,0,"FW,MF"
113,Adri Embarba,3,"2,476",2023-2024,31,es ESP,Almería,es La Liga,36,"2,476",27.5,29,7,2,3,2,5,2,1,1,0,"FW,MF"
114,Gonçalo Guedes,3,951,2023-2024,26,pt POR,Villarreal,es La Liga,17,951,10.6,9,8,1,3,2,5,3,0,0,0,"FW,MF"
