,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
488,Isaac Carcelen,0,"2,199",2022-2023,29,es ESP,Cádiz,es La Liga,27,"2,199",24.4,25,2,2,0,1,1,0,0,0,0,DF
489,Manu Bueno,0,149,2022-2023,18,es ESP,Sevilla,es La Liga,2,149,1.7,2,0,9,0,0,0,0,0,0,0,MF
490,Thierry Correia,0,"2,009",2022-2023,23,pt POR,Valencia,es La Liga,27,"2,009",22.3,24,3,0,0,0,0,0,0,0,0,DF
491,Roberto Navarro,0,351,2022-2023,20,es ESP,Real Sociedad,es La Liga,17,351,3.9,1,16,21,0,0,0,0,0,0,0,"MF,FW"
492,Hugo Mallo,0,"2,163",2022-2023,31,es ESP,Celta Vigo,es La Liga,26,"2,163",24,26,0,7,0,1,1,0,0,0,0,DF
493,Kasper Dolberg,0,197,2022-2023,24,dk DEN,Sevilla,es La Liga,4,197,2.2,2,2,7,0,1,1,0,0,0,0,FW
494,Geoffrey Kondogbia,0,"1,006",2022-2023,29,cf CTA,Atlético Madrid,es La Liga,20,"1,006",11.2,10,10,13,0,2,2,0,0,0,0,MF
495,Iván Balliu,0,"3,232",2022-2023,30,al ALB,Rayo Vallecano,es La Liga,37,"3,232",35.9,37,0,0,0,0,0,0,0,0,0,DF
496,Jon Magunazelaia,0,65,2022-2023,22,es ESP,Real Sociedad,es La Liga,2,65,0.7,0,2,2,0,0,0,0,0,0,0,"MF,FW"
497,Matt Doherty,0,18,2022-2023,30,ie IRL,Atlético Madrid,es La Liga,2,18,0.2,0,2,17,0,0,0,0,0,0,0,DF
498,Pierre-Emerick Aubameyang,0,9,2022-2023,33,ga GAB,Barcelona,es La Liga,1,9,0.1,0,1,2,0,0,0,0,0,0,0,FW
499,Youba Diarra,0,98,2022-2023,24,ml MLI,Cádiz,es La Liga,5,98,1.1,1,4,15,0,0,0,0,0,0,0,MF
500,Rodrigo Battaglia,0,686,2022-2023,31,ar ARG,Mallorca,es La Liga,15,686,7.6,8,7,9,0,0,0,0,0,0,0,MF
501,Roberto Torres,0,11,2022-2023,33,es ESP,Osasuna,es La Liga,2,11,0.1,0,2,13,0,0,0,0,0,0,0,"FW,MF"
502,Fernando Medrano,0,13,2022-2023,22,es ESP,Celta Vigo,es La Liga,1,13,0.1,0,1,8,0,0,0,0,0,0,0,DF
503,Bebé,0,60,2022-2023,32,cv CPV,Rayo Vallecano,es La Liga,4,60,0.7,0,4,13,0,0,0,0,0,0,0,FW
504,Diego Rico,0,"1,646",2022-2023,29,es ESP,Real Sociedad,es La Liga,20,"1,646",18.3,18,2,11,0,0,0,0,0,0,0,DF
