,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
118,William Carvalho,3,"2,438",2022-2023,30,pt POR,Betis,es La Liga,33,"2,438",27.1,31,2,0,3,1,4,3,0,0,0,MF
119,Juan Miranda,3,"1,472",2022-2023,22,es ESP,Betis,es La Liga,21,"1,472",16.4,16,5,16,3,2,5,3,0,0,0,DF
120,Fidel,3,"1,714",2022-2023,32,es ESP,Elche,es La Liga,27,"1,714",19,21,6,1,3,2,5,2,1,1,0,"MF,FW"
121,David López,3,"1,652",2022-2023,32,es ESP,Girona,es La Liga,20,"1,652",18.4,19,1,7,3,1,4,3,0,0,0,DF
122,Viktor Tsyhankov,3,"1,489",2022-2023,24,ua UKR,Girona,es La Liga,19,"1,489",16.5,17,2,2,3,6,9,3,0,0,0,MF
123,Óscar Trejo,3,"2,145",2022-2023,34,ar ARG,Rayo Vallecano,es La Liga,34,"2,145",23.8,28,6,0,3,4,7,2,1,2,1,"MF,FW"
124,Selim Amallah,2,267,2022-2023,25,ma MAR,Valladolid,es La Liga,7,267,3,3,4,2,2,1,3,2,0,0,0,"MF,FW"
125,Samuel Sáiz,2,240,2022-2023,31,es ESP,Girona,es La Liga,8,240,2.7,1,7,4,2,0,2,0,2,2,0,MF
126,Rodrigo De Paul,2,"1,923",2022-2023,28,ar ARG,Atlético Madrid,es La Liga,30,"1,923",21.4,24,6,3,2,7,9,2,0,0,0,MF
127,Óscar Rodríguez Arnaiz,2,"1,775",2022-2023,24,es ESP,Celta Vigo,es La Liga,33,"1,775",19.7,19,14,3,2,0,2,2,0,0,0,MF
128,Gavi,2,"2,531",2022-2023,17,es ESP,Barcelona,es La Liga,36,"2,531",28.1,30,6,0,2,4,6,2,0,0,0,"MF,FW"
129,Frenkie de Jong,2,"2,534",2022-2023,25,nl NED,Barcelona,es La Liga,33,"2,534",28.2,29,4,1,2,4,6,2,0,0,0,MF
130,Edu Expósito,2,"1,160",2022-2023,25,es ESP,Espanyol,es La Liga,28,"1,160",12.9,13,15,9,2,2,4,2,0,0,0,MF
131,David García,2,"2,680",2022-2023,28,es ESP,Osasuna,es La Liga,32,"2,680",29.8,31,1,1,2,0,2,2,0,0,0,DF
132,Jordi Alba,2,"1,419",2022-2023,33,es ESP,Barcelona,es La Liga,24,"1,419",15.8,14,10,12,2,3,5,2,0,0,0,DF
133,Oriol Romeu,2,"2,950",2022-2023,30,es ESP,Girona,es La Liga,33,"2,950",32.8,33,0,0,2,0,2,2,0,0,0,MF
134,Suso,2,"1,065",2022-2023,28,es ESP,Sevilla,es La Liga,25,"1,065",11.8,10,15,9,2,4,6,2,0,0,0,"MF,FW"
135,Yangel Herrera,2,963,2022-2023,24,ve VEN,Girona,es La Liga,20,963,10.7,12,8,1,2,2,4,2,0,0,0,"MF,FW"
136,Rubén García,2,"1,159",2022-2023,29,es ESP,Osasuna,es La Liga,29,"1,159",12.9,11,18,4,2,2,4,2,0,0,0,"FW,MF"
137,Pablo Maffeo,2,"2,975",2022-2023,25,es ESP,Mallorca,es La Liga,35,"2,975",33.1,34,1,0,2,4,6,2,0,0,0,DF
138,Radamel Falcao,2,616,2022-2023,36,co COL,Rayo Vallecano,es La Liga,27,616,6.8,3,24,5,2,0,2,1,1,1,0,"FW,MF"
139,Reinier,2,647,2022-2023,20,br BRA,Girona,es La Liga,18,647,7.2,5,13,3,2,1,3,2,0,0,0,"MF,FW"
140,Carles Aleñá,2,"2,119",2022-2023,24,es ESP,Getafe,es La Liga,35,"2,119",23.5,26,9,0,2,2,4,2,0,0,0,"MF,FW"
141,Toni Kroos,2,"2,155",2022-2023,32,de GER,Real Madrid,es La Liga,30,"2,155",23.9,25,5,3,2,4,6,2,0,0,0,MF
142,Fran Garcia,2,"3,407",2022-2023,22,es ESP,Rayo Vallecano,es La Liga,38,"3,407",37.9,38,0,0,2,3,5,2,0,0,0,DF
143,Bryan Gil,2,918,2022-2023,21,es ESP,Sevilla,es La Liga,17,918,10.2,10,7,2,2,2,4,2,0,0,0,"FW,DF"
144,Roque Mesa,2,"1,617",2022-2023,33,es ESP,Valladolid,es La Liga,29,"1,617",18,20,9,6,2,1,3,2,0,0,0,MF
145,Miguel Gutiérrez,2,"2,390",2022-2023,21,es ESP,Girona,es La Liga,34,"2,390",26.6,27,7,2,2,3,5,2,0,0,0,DF
146,Gastón Álvarez,2,"1,501",2022-2023,22,uy URU,Getafe,es La Liga,22,"1,501",16.7,16,6,14,2,0,2,2,0,0,0,DF
147,Rodri,2,"1,601",2022-2023,22,es ESP,Betis,es La Liga,30,"1,601",17.8,19,11,7,2,3,5,2,0,0,0,"FW,MF"
148,Francisco Portillo,2,722,2022-2023,32,es ESP,Almería,es La Liga,27,722,8,4,23,11,2,1,3,2,0,0,0,"MF,FW"
149,Gonçalo Paciência,2,662,2022-2023,27,pt POR,Celta Vigo,es La Liga,25,662,7.4,5,20,9,2,0,2,2,0,0,0,"FW,MF"
150,Lucas Robertone,2,"2,843",2022-2023,25,ar ARG,Almería,es La Liga,37,"2,843",31.6,34,3,0,2,7,9,2,0,0,0,MF
151,Raúl García,2,967,2022-2023,36,es ESP,Athletic Club,es La Liga,35,967,10.7,6,29,3,2,3,5,2,0,0,0,"FW,MF"
152,Antonio Raillo,2,"2,766",2022-2023,30,es ESP,Mallorca,es La Liga,31,"2,766",30.7,31,0,0,2,3,5,2,0,0,0,DF
153,Nabil Fekir,2,961,2022-2023,29,fr FRA,Betis,es La Liga,15,961,10.7,12,3,0,2,2,4,1,1,1,0,MF
154,Mikel Merino,2,"2,494",2022-2023,26,es ESP,Real Sociedad,es La Liga,33,"2,494",27.7,28,5,0,2,9,11,2,0,1,1,MF
