,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
127,Jordi Alba,2,"2,744",2017-2018,28,es ESP,Barcelona,es La Liga,33,"2,744",30.5,30,3,3,2,8,10,2,0,0,0,DF
128,Pablo Piatti,2,"1,738",2017-2018,28,ar ARG,Espanyol,es La Liga,30,"1,738",19.3,22,8,0,2,3,5,1,1,1,0,"MF,FW"
129,Darko Brašanac,2,"1,203",2017-2018,25,rs SRB,Leganés,es La Liga,23,"1,203",13.4,13,10,3,2,0,2,2,0,0,0,"MF,FW"
130,Christian Santos,2,436,2017-2018,29,ve VEN,Alavés,es La Liga,10,436,4.8,5,5,3,2,0,2,2,0,0,0,FW
131,Aday,2,"1,835",2017-2018,29,es ESP,Girona,es La Liga,31,"1,835",20.4,20,11,4,2,0,2,1,1,2,1,DF
132,Marcelo,2,"2,260",2017-2018,29,br BRA,Real Madrid,es La Liga,28,"2,260",25.1,26,2,2,2,6,8,2,0,0,0,DF
133,Nordin Amrabat,2,"1,623",2017-2018,30,ma MAR,Leganés,es La Liga,30,"1,623",18,17,13,0,2,4,6,2,0,0,0,"FW,MF"
134,Anaitz Arbilla,2,"2,414",2017-2018,30,es ESP,Eibar,es La Liga,29,"2,414",26.8,26,3,1,2,1,3,2,0,0,0,DF
135,Joel Campbell,2,214,2017-2018,25,cr CRC,Betis,es La Liga,8,214,2.4,2,6,6,2,1,3,2,0,0,0,"MF,FW"
136,Simon Kjær,2,"1,571",2017-2018,28,dk DEN,Sevilla,es La Liga,20,"1,571",17.5,18,2,3,2,0,2,2,0,0,0,DF
137,Borja Bastón,2,985,2017-2018,24,es ESP,Málaga,es La Liga,20,985,10.9,8,12,5,2,0,2,1,1,2,1,FW
138,Claudio Beauvue,2,"1,672",2017-2018,29,gp GLP,2 Teams,es La Liga,28,"1,672",18.6,17,11,5,2,0,2,2,0,0,0,FW
139,Francisco Portillo,2,"2,460",2017-2018,27,es ESP,Getafe,es La Liga,33,"2,460",27.3,28,5,4,2,3,5,1,1,2,1,"MF,FW"
140,Alen Halilović,2,"1,304",2017-2018,21,hr CRO,Las Palmas,es La Liga,20,"1,304",14.5,16,4,3,2,1,3,2,0,0,0,"FW,MF"
141,Federico Cartabia,2,"1,324",2017-2018,24,ar ARG,La Coruña,es La Liga,20,"1,324",14.7,16,4,1,2,1,3,2,0,0,0,"FW,MF"
142,Miguel Layún,2,"1,184",2017-2018,29,mx MEX,Sevilla,es La Liga,16,"1,184",13.2,11,5,1,2,0,2,2,0,0,0,DF
143,Gerard Piqué,2,"2,632",2017-2018,30,es ESP,Barcelona,es La Liga,30,"2,632",29.2,29,1,6,2,0,2,2,0,0,0,DF
144,Víctor Ruiz,2,"2,416",2017-2018,28,es ESP,Villarreal,es La Liga,27,"2,416",26.8,27,0,8,2,1,3,2,0,0,0,DF
145,Víctor Laguardia,2,"1,530",2017-2018,27,es ESP,Alavés,es La Liga,17,"1,530",17,17,0,4,2,0,2,2,0,0,0,DF
146,Dani Ceballos,2,401,2017-2018,20,es ESP,Real Madrid,es La Liga,12,401,4.5,4,8,11,2,0,2,2,0,0,0,MF
147,Saúl Ñíguez,2,"3,155",2017-2018,22,es ESP,Atlético Madrid,es La Liga,36,"3,155",35.1,35,1,0,2,3,5,2,0,0,0,MF
148,Fabian Schär,2,"2,219",2017-2018,25,ch SUI,La Coruña,es La Liga,25,"2,219",24.7,25,0,8,2,2,4,2,0,0,0,DF
149,Diego Rico,2,"2,228",2017-2018,24,es ESP,Leganés,es La Liga,26,"2,228",24.8,26,0,7,2,2,4,2,0,0,0,DF
150,Vitolo,2,"1,307",2017-2018,27,es ESP,2 Teams,es La Liga,23,"1,307",14.5,16,7,5,2,2,4,2,0,0,0,"FW,MF"
151,Jonny Castro,2,"3,202",2017-2018,23,es ESP,Celta Vigo,es La Liga,36,"3,202",35.6,36,0,0,2,1,3,2,0,0,0,DF
152,Achraf Hakimi,2,757,2017-2018,18,ma MAR,Real Madrid,es La Liga,9,757,8.4,8,1,8,2,0,2,2,0,0,0,DF
153,Riza Durmisi,2,"2,080",2017-2018,23,dk DEN,Betis,es La Liga,24,"2,080",23.1,23,1,11,2,3,5,2,0,0,0,DF
154,Borja García,2,"2,798",2017-2018,26,es ESP,Girona,es La Liga,37,"2,798",31.1,34,3,1,2,5,7,2,0,0,0,MF
155,Dani Raba,2,"1,110",2017-2018,21,es ESP,Villarreal,es La Liga,21,"1,110",12.3,14,7,3,2,4,6,2,0,0,0,"MF,FW"
156,Andrés Guardado,2,"2,264",2017-2018,30,mx MEX,Betis,es La Liga,29,"2,264",25.2,25,4,0,2,8,10,1,1,1,0,MF
157,Unai Bustinza,2,"1,637",2017-2018,25,es ESP,Leganés,es La Liga,20,"1,637",18.2,18,2,10,2,0,2,2,0,0,0,DF
158,Mario Gaspar,2,"2,806",2017-2018,26,es ESP,Villarreal,es La Liga,32,"2,806",31.2,31,1,2,2,3,5,2,0,0,0,DF
159,Cala,2,"1,800",2017-2018,27,es ESP,Getafe,es La Liga,20,"1,800",20,20,0,2,2,2,4,2,0,0,0,DF
160,Mikel San José,1,"2,155",2017-2018,28,es ESP,Athletic Club,es La Liga,26,"2,155",23.9,24,2,7,1,1,2,1,0,0,0,MF
161,Aleix Vidal,1,460,2017-2018,27,es ESP,Barcelona,es La Liga,15,460,5.1,4,11,8,1,1,2,1,0,0,0,"MF,FW"
162,Sergi Darder,1,"2,782",2017-2018,23,es ESP,Espanyol,es La Liga,35,"2,782",30.9,32,3,0,1,2,3,1,0,0,0,MF
163,Erik Expósito,1,467,2017-2018,21,es ESP,Las Palmas,es La Liga,10,467,5.2,4,6,4,1,0,1,1,0,0,0,FW
164,Emre Mor,1,665,2017-2018,20,tr TUR,Celta Vigo,es La Liga,23,665,7.4,4,19,4,1,2,3,1,0,0,0,"FW,MF"
