,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
294,Edu Expósito,0,96,2017-2018,20,es ESP,La Coruña,es La Liga,3,96,1.1,0,3,5,0,0,0,0,0,0,0,"MF,FW"
295,Johannes Geis,0,676,2017-2018,23,de GER,Sevilla,es La Liga,14,676,7.5,7,7,9,0,1,1,0,0,0,0,"DF,MF"
296,Pere Pons,0,"2,559",2017-2018,24,es ESP,Girona,es La Liga,31,"2,559",28.4,30,1,3,0,2,2,0,0,0,0,MF
297,Guilherme Arana,0,193,2017-2018,20,br BRA,Sevilla,es La Liga,3,193,2.1,2,1,5,0,0,0,0,0,0,0,DF
298,Francisco Molinero,0,579,2017-2018,32,es ESP,Getafe,es La Liga,10,579,6.4,5,5,26,0,0,0,0,0,0,0,DF
299,Javi Fuego,0,"1,878",2017-2018,33,es ESP,2 Teams,es La Liga,28,"1,878",20.9,23,5,3,0,0,0,0,0,0,0,MF
300,Andrew Hjulsager,0,14,2017-2018,22,dk DEN,Celta Vigo,es La Liga,2,14,0.2,0,2,10,0,0,0,0,0,0,0,"DF,MF"
301,Aarón Martín,0,"2,815",2017-2018,20,es ESP,Espanyol,es La Liga,32,"2,815",31.3,31,1,5,0,0,0,0,0,0,0,DF
302,José Ángel,0,"2,426",2017-2018,27,es ESP,Eibar,es La Liga,30,"2,426",27,28,2,5,0,8,8,0,0,0,0,DF
303,Róbert Mazáň,0,81,2017-2018,23,sk SVK,Celta Vigo,es La Liga,2,81,0.9,1,1,16,0,0,0,0,0,0,0,DF
304,Julio Gracia,0,23,2017-2018,19,es ESP,Betis,es La Liga,2,23,0.3,0,2,4,0,0,0,0,0,0,0,"DF,FW"
305,Alin Toșca,0,423,2017-2018,25,ro ROU,Betis,es La Liga,6,423,4.7,5,1,9,0,0,0,0,0,0,0,DF
306,Merveille Ndockyt,0,68,2017-2018,19,cg CGO,Getafe,es La Liga,6,68,0.8,0,6,5,0,0,0,0,0,0,0,"MF,FW"
307,Martin Agirregabiria,0,"1,828",2017-2018,21,es ESP,Alavés,es La Liga,21,"1,828",20.3,20,1,4,0,4,4,0,0,0,0,DF
308,Óscar Melendo,0,686,2017-2018,19,es ESP,Espanyol,es La Liga,18,686,7.6,6,12,7,0,1,1,0,0,0,0,"MF,FW"
309,Hugo Duro,0,19,2017-2018,17,es ESP,Getafe,es La Liga,2,19,0.2,0,2,1,0,0,0,0,0,0,0,FW
310,Ander Capa,0,"2,249",2017-2018,25,es ESP,Eibar,es La Liga,33,"2,249",25,25,8,3,0,1,1,0,0,0,0,DF
311,Walter Montoya,0,76,2017-2018,24,ar ARG,Sevilla,es La Liga,1,76,0.8,1,0,2,0,0,0,0,0,0,0,FW
312,Shaq Moore,0,424,2017-2018,20,us USA,Levante,es La Liga,6,424,4.7,5,1,5,0,0,0,0,0,0,0,DF
313,Rubén Pérez,0,"2,516",2017-2018,28,es ESP,Leganés,es La Liga,31,"2,516",28,29,2,2,0,0,0,0,0,0,0,MF
314,Vitorino Antunes,0,"2,799",2017-2018,30,pt POR,Getafe,es La Liga,34,"2,799",31.1,31,3,2,0,2,2,0,0,1,1,DF
315,Carlos Isaac,0,63,2017-2018,19,es ESP,Atlético Madrid,es La Liga,1,63,0.7,1,0,1,0,0,0,0,0,0,0,DF
316,Yeray Álvarez,0,675,2017-2018,22,es ESP,Athletic Club,es La Liga,8,675,7.5,7,1,6,0,0,0,0,0,0,0,DF
317,Bernardo Espinosa,0,"2,868",2017-2018,28,co COL,Girona,es La Liga,34,"2,868",31.9,32,2,2,0,3,3,0,0,0,0,DF
318,Álvaro González,0,"2,898",2017-2018,27,es ESP,Villarreal,es La Liga,33,"2,898",32.2,32,1,0,0,2,2,0,0,0,0,DF
319,Alejandro Gutiérrez Mozo,0,45,2017-2018,22,es ESP,Leganés,es La Liga,1,45,0.5,0,1,1,0,0,0,0,0,0,0,MF
320,Miguel Torres,0,673,2017-2018,31,es ESP,Málaga,es La Liga,8,673,7.5,8,0,6,0,0,0,0,0,0,0,DF
321,Álex Alegría,0,628,2017-2018,24,es ESP,Levante,es La Liga,9,628,7,8,1,1,0,0,0,0,0,0,0,FW
322,Šime Vrsaljko,0,"1,696",2017-2018,25,hr CRO,Atlético Madrid,es La Liga,21,"1,696",18.8,19,2,5,0,4,4,0,0,0,0,DF
323,José Arnaiz,0,6,2017-2018,22,es ESP,Barcelona,es La Liga,1,6,0.1,0,1,0,0,0,0,0,0,0,0,MF
324,Juanjo Narváez,0,304,2017-2018,22,co COL,Betis,es La Liga,7,304,3.4,4,3,6,0,0,0,0,0,0,0,MF
325,Antonio Barragán,0,"2,373",2017-2018,30,es ESP,Betis,es La Liga,29,"2,373",26.4,28,1,4,0,6,6,0,0,0,0,DF
326,Matías Nahuel,0,251,2017-2018,20,es ESP,Betis,es La Liga,7,251,2.8,3,4,6,0,0,0,0,0,0,0,"MF,FW"
327,Dani Carvajal,0,"2,222",2017-2018,25,es ESP,Real Madrid,es La Liga,25,"2,222",24.7,25,0,1,0,2,2,0,0,0,0,DF
328,Xesc Regis,0,1,2017-2018,20,es ESP,Eibar,es La Liga,1,1,0,0,1,2,0,0,0,0,0,0,0,FW
329,Adalberto Peñaranda,0,802,2017-2018,20,ve VEN,Málaga,es La Liga,13,802,8.9,11,2,0,0,0,0,0,0,0,0,"FW,MF"
330,Óscar Romero,0,251,2017-2018,25,py PAR,Alavés,es La Liga,5,251,2.8,2,3,2,0,0,0,0,0,0,0,"MF,FW"
331,Jon Guridi,0,54,2017-2018,22,es ESP,Real Sociedad,es La Liga,4,54,0.6,0,4,4,0,0,0,0,0,0,0,MF
332,Enzo Zidane,0,71,2017-2018,22,es ESP,Alavés,es La Liga,2,71,0.8,1,1,3,0,0,0,0,0,0,0,MF
333,Marc Muniesa,0,"1,127",2017-2018,25,es ESP,Girona,es La Liga,13,"1,127",12.5,13,0,13,0,1,1,0,0,0,0,DF
334,Carlos Calderón,0,4,2017-2018,22,es ESP,Getafe,es La Liga,1,4,0,0,1,1,0,0,0,0,0,0,0,MF
335,Borja Herrera,0,241,2017-2018,24,es ESP,Las Palmas,es La Liga,3,241,2.7,3,0,7,0,0,0,0,0,0,0,DF
336,Javier Mascherano,0,541,2017-2018,33,ar ARG,Barcelona,es La Liga,7,541,6,6,1,7,0,0,0,0,0,0,0,DF
337,Carlos Sánchez,0,"1,122",2017-2018,31,co COL,Espanyol,es La Liga,14,"1,122",12.5,13,1,2,0,0,0,0,0,0,0,MF
338,Facundo Roncaglia,0,"1,492",2017-2018,30,ar ARG,Celta Vigo,es La Liga,21,"1,492",16.6,17,4,9,0,0,0,0,0,0,0,DF
339,Pau Torres,0,52,2017-2018,20,es ESP,Villarreal,es La Liga,2,52,0.6,0,2,13,0,0,0,0,0,0,0,DF
340,Fabio González,0,64,2017-2018,20,es ESP,Las Palmas,es La Liga,1,64,0.7,1,0,1,0,0,0,0,0,0,0,MF
341,Federico Ricca,0,"1,109",2017-2018,22,uy URU,Málaga,es La Liga,14,"1,109",12.3,13,1,2,0,1,1,0,0,0,0,DF
342,Miguel Ángel Rubio,0,29,2017-2018,19,es ESP,Getafe,es La Liga,1,29,0.3,0,1,0,0,0,0,0,0,0,0,DF
343,Iván López,0,173,2017-2018,23,es ESP,Levante,es La Liga,3,173,1.9,3,0,0,0,1,1,0,0,0,0,DF
344,Iñigo Lekue,0,"2,111",2017-2018,24,es ESP,Athletic Club,es La Liga,32,"2,111",23.5,22,10,6,0,1,1,0,0,0,0,"DF,FW"
345,Fernando Navarro,0,"1,046",2017-2018,35,es ESP,La Coruña,es La Liga,15,"1,046",11.6,11,4,21,0,0,0,0,0,0,0,DF
346,Daniel Pacheco,0,175,2017-2018,26,es ESP,Getafe,es La Liga,11,175,1.9,0,11,5,0,0,0,0,0,0,0,"MF,FW"
347,Lionel Carole,0,540,2017-2018,26,fr FRA,Sevilla,es La Liga,6,540,6,6,0,4,0,1,1,0,0,0,0,DF
348,Emanuel Cecchini,0,30,2017-2018,20,ar ARG,Málaga,es La Liga,2,30,0.3,0,2,2,0,0,0,0,0,0,0,"MF,DF"
349,Martín Montoya,0,"2,152",2017-2018,26,es ESP,Valencia,es La Liga,25,"2,152",23.9,24,1,9,0,4,4,0,0,0,0,DF
350,Pablo Maffeo,0,"2,642",2017-2018,20,es ESP,Girona,es La Liga,33,"2,642",29.4,32,1,3,0,1,1,0,0,0,0,DF
351,Samu García,0,368,2017-2018,27,es ESP,2 Teams,es La Liga,18,368,4.1,4,14,8,0,1,1,0,0,0,0,MF
352,Johan Mojica,0,"2,135",2017-2018,24,co COL,Girona,es La Liga,30,"2,135",23.7,22,8,4,0,4,4,0,0,0,0,DF
353,Salem Al-Dawsari,0,34,2017-2018,25,sa KSA,Villarreal,es La Liga,1,34,0.4,0,1,0,0,0,0,0,0,0,0,MF
354,Kévin Soni,0,19,2017-2018,19,cm CMR,Girona,es La Liga,2,19,0.2,0,2,0,0,0,0,0,0,0,0,MF
355,Gabi,0,"2,349",2017-2018,34,es ESP,Atlético Madrid,es La Liga,34,"2,349",26.1,25,9,3,0,1,1,0,0,0,0,MF
